Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Moving_Avg_20,Volatility
2025-01-16 00:00:00-05:00,236.28136958651152,236.9383864807084,227.0033243432251,227.23228454589844,71759100,0.0,0.0,,,
2025-01-17 00:00:00-05:00,231.0748831620974,231.2441159203825,227.45127273918456,228.94451904296875,68488300,0.0,0.0,0.7535172655998457,,
2025-01-21 00:00:00-05:00,222.9914505136237,223.40955766052627,218.39225670760806,221.6375732421875,98070400,0.0,0.0,-3.1915792661583064,,
2025-01-22 00:00:00-05:00,218.80041619812283,223.1109227348787,218.80041619812283,222.82223510742188,64126500,0.0,0.0,0.5345040770410758,,
2025-01-23 00:00:00-05:00,223.72813912330528,226.00782197454978,221.29912251598503,222.6529998779297,60234800,0.0,0.0,-0.07595078175686165,,
2025-01-24 00:00:00-05:00,223.76794215782238,224.614121166801,220.4131202139208,221.77694702148438,54697900,0.0,0.0,-0.39346106134909853,,
2025-01-27 00:00:00-05:00,223.01138591977585,231.10477141655377,222.9715575076631,228.82508850097656,94863400,0.0,0.0,3.1780316097549166,,
2025-01-28 00:00:00-05:00,229.81063008981926,239.1085741517517,229.77080167884077,237.187255859375,75707600,0.0,0.0,3.6543927124331743,,
2025-01-29 00:00:00-05:00,233.06590496072297,238.78006694024197,232.95639961161774,238.28231811523438,45486100,0.0,0.0,0.4616868018021192,,
2025-01-30 00:00:00-05:00,237.59541819689565,239.7058683175974,236.14200015946125,236.52027893066406,55658300,0.0,0.0,-0.7394754249948954,,
2025-01-31 00:00:00-05:00,246.07705979363328,246.07705979363328,232.38896748106293,234.93743896484375,100959800,0.0,0.0,-0.6692195582452931,,
2025-02-03 00:00:00-05:00,228.9545099800506,230.78622201033428,224.68381655532258,226.98341369628906,73063300,0.0,0.0,-3.385592906605628,,
2025-02-04 00:00:00-05:00,226.2268315478868,232.08036234711574,225.62952690670866,231.75184631347656,45067300,0.0,0.0,2.1007846077986114,,
2025-02-05 00:00:00-05:00,227.50107667347064,231.62243633567465,227.24225275297744,231.42333984375,39620300,0.0,0.0,-0.14174923520661187,,
2025-02-06 00:00:00-05:00,230.24863411824003,232.74734282564026,229.39250557129796,232.16995239257812,29925300,0.0,0.0,0.3226176535747083,,
2025-02-07 00:00:00-05:00,231.55275755143822,232.946448173879,226.236788599926,226.60513305664062,39707200,0.0,0.0,-2.396873186469839,,
2025-02-10 00:00:00-05:00,228.7876615470872,229.80417456619486,226.42572786906877,226.8741912841797,33115600,0.25,0.0,0.1187343922486539,,
2025-02-11 00:00:00-05:00,227.42233485023965,234.42837673351212,227.3525813044295,231.8272705078125,53718400,0.0,0.0,2.1831831975231752,,
2025-02-12 00:00:00-05:00,230.41209906543347,236.15247950770552,229.89386689621963,236.06277465820312,45243300,0.0,0.0,1.8270085918334233,,
2025-02-13 00:00:00-05:00,236.10265815205582,241.5141464162941,234.76722827404518,240.7069091796875,53614100,0.0,0.0,1.967330312120863,230.26118850708008,
