Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Moving_Avg_20,Volatility
2025-01-16 00:00:00-05:00,193.38260685017687,194.71737550066445,192.05779371525637,192.15740966796875,17815400,0.0,0.0,,,
2025-01-17 00:00:00-05:00,195.76331327486383,196.46057945672584,192.99415958170988,195.23538208007812,27735100,0.0,0.0,1.6017974104812538,,
2025-01-21 00:00:00-05:00,198.29339931939404,201.50082353528188,197.0980685764286,197.27737426757812,29971300,0.0,0.0,1.0459129722001137,,
2025-01-22 00:00:00-05:00,198.28344103159932,199.6978996202174,196.7594109579838,197.59613037109375,26200600,0.0,0.0,0.16157762880768534,,
2025-01-23 00:00:00-05:00,197.3670210617764,199.5185981768782,194.43848807720923,197.2076416015625,26951400,0.0,0.0,-0.19660747849750138,,
2025-01-24 00:00:00-05:00,197.32718592161126,200.11625050908367,197.22756995808922,199.428955078125,23877500,0.0,0.0,1.1263830643289285,,
2025-01-27 00:00:00-05:00,191.65938720339696,196.11195036774717,189.98593319836488,191.0617218017578,41728900,0.0,0.0,-4.1955960071542115,,
2025-01-28 00:00:00-05:00,191.99806124313736,194.71740695981467,189.9361292430902,194.53811645507812,24157900,0.0,0.0,1.8195139353592626,,
2025-01-29 00:00:00-05:00,194.79706803372179,196.02226523360838,192.67537284426942,194.6476593017578,18218300,0.0,0.0,0.056309194658510364,,
2025-01-30 00:00:00-05:00,197.22758104242592,200.61431120284323,196.89886658344366,200.0863800048828,24354700,0.0,0.0,2.7941361959526345,,
2025-01-31 00:00:00-05:00,201.21196665384008,204.6783863780237,201.0127499247283,203.22409057617188,32001100,0.0,0.0,1.568177989532571,,
2025-02-03 00:00:00-05:00,199.90707487204236,202.9551348332388,199.31938021531738,200.44496154785156,27838300,0.0,0.0,-1.3675194808061675,,
2025-02-04 00:00:00-05:00,202.59653399897414,206.2422592489475,202.0187948719897,205.5748748779297,43856400,0.0,0.0,2.559262797360695,,
2025-02-05 00:00:00-05:00,190.32462266498615,191.99806150855852,187.29647352052726,190.58360290527344,70373900,0.0,0.0,-7.2923658504270295,,
2025-02-06 00:00:00-05:00,188.7607254709797,191.35058847007514,187.98376961110344,190.8525390625,29297400,0.0,0.0,0.14111190738703705,,
2025-02-07 00:00:00-05:00,190.3046897826863,190.43417229867478,182.52516013677956,184.61695861816406,49315000,0.0,0.0,-3.2672242533246743,,
2025-02-10 00:00:00-05:00,186.61912556239702,187.46580046504565,185.13493280467802,185.7425537109375,23105600,0.0,0.0,0.6096921437761527,,
2025-02-11 00:00:00-05:00,184.3081687207876,186.21072116923287,183.56109458441756,184.5970458984375,21239500,0.0,0.0,-0.6167180269754935,,
2025-02-12 00:00:00-05:00,182.5052293386179,184.38785552440282,181.12065256917043,182.89370727539062,22072600,0.0,0.0,-0.9227334136127086,,
2025-02-13 00:00:00-05:00,183.6009416706382,185.5532868448968,182.42553716023775,185.41383361816406,21402500,0.0,0.0,1.3779185628179036,193.65904693603517,
2025-02-14 00:00:00-05:00,184.3380502737544,185.67281908148942,183.60094685418304,184.50738525390625,20448400,0.0,0.0,-0.48887849766621194,193.27654571533202,2.423603294436367
2025-02-18 00:00:00-05:00,184.87596341155862,185.23455962642282,181.0310210185614,183.0531005859375,29916700,0.0,0.0,-0.7881986219508086,192.667431640625,2.3901110648248998
2025-02-19 00:00:00-05:00,183.35192561125757,184.73650242741212,182.8737872119756,184.5472412109375,19549400,0.0,0.0,0.8162334427646245,192.03092498779296,2.3838789316904387
2025-02-20 00:00:00-05:00,184.07906552714084,184.587070455128,182.00717815142445,183.83999633789062,20441500,0.0,0.0,-0.3832324278630117,191.3431182861328,2.381374881432858
2025-02-21 00:00:00-05:00,184.42769462228776,184.61695583425816,178.38138255149903,178.95912170410156,35199200,0.0,0.0,-2.6549579694389314,190.43069229125976,2.4367911143713523
2025-02-24 00:00:00-05:00,181.28002106421596,182.40560234155157,178.19210879001352,178.5507049560547,29854200,0.0,0.0,-0.2282178992374373,189.38677978515625,2.409179831934672
2025-02-25 00:00:00-05:00,177.34541534936753,178.0426966360842,174.0084936453782,174.7356414794922,41913400,0.0,0.0,-2.136683513795967,188.57047576904296,2.2847726527880963
2025-02-26 00:00:00-05:00,174.38703523452213,175.39308961437996,170.9106447310479,172.05615234375,35431300,0.0,0.0,-1.5334531141184882,187.44637756347657,2.234234882303156
2025-02-27 00:00:00-05:00,173.31125512309177,173.87902359915924,167.28485366729163,167.84266662597656,39991000,0.0,0.0,-2.448901512894075,186.1061279296875,2.2662162636787957
2025-02-28 00:00:00-05:00,168.0219583066627,169.94443712332475,166.11942092343116,169.61572265625,48130600,0.0,0.0,1.0563798025352789,184.58259506225585,2.1552659409732424
2025-03-03 00:00:00-05:00,171.2592638730811,172.69364861452485,165.28267091657344,166.35845947265625,40770500,0.0,0.0,-1.9203780950160176,182.73931350708008,2.0938082369945814
2025-03-04 00:00:00-05:00,165.5914841182232,172.6139690982364,165.15319817693035,170.2532196044922,45388000,0.0,0.0,2.3411855003839577,181.2297264099121,2.2177250769867327
2025-03-05 00:00:00-05:00,169.85478454890304,173.10206141211768,168.4004735026306,172.34503173828125,30954900,0.0,0.0,1.228647621847312,179.5682342529297,2.1302245494597822
2025-03-06 00:00:00-05:00,169.8647356201999,174.12803748089462,169.83485387065045,171.67764282226562,28302000,0.0,0.0,-0.3872400087686301,178.6229362487793,1.4977491514885206
2025-03-07 00:00:00-05:00,170.59189936594015,174.2874331291024,169.60577114071108,173.1817626953125,27385800,0.0,0.0,0.8761303151185951,177.73939743041993,1.5233724877509764
